Description,Location,Founded Year,Stage,Employee Count,Sector (Practice Area & Feed),Country,Cohort,Total Funding (USD; In Millions),Valuation (USD; In Millions),Annual Revenue (USD; In Millions),AI_Firm_Status,Age,,,,,,
Online social media marketing platform,Mumbai,2021,Seed,71,"Enterprise Applications > MarketingTech,
Consumer > Social Platforms,
Media & Entertainment > Social Platforms",India,2021-2025,7.23,23.5,0.03,Non-AI Firm,4,,,,,,
"Hair and skin care, fitness, and wellness brand acquirers",Coimbatore,2021,Seed,51,"Retail > Brands Tech,
Retail > E-Commerce Enablers",India,2021-2025,2,14.01,0.03,AI Firm,4,,,,,,
App-based platform for booking valet parking services,Noida,2021,Seed,123,"Consumer > Road Transport Tech,
Travel and Hospitality Tech > Road Transport Tech,
Auto Tech > Road Transport Tech,
Transportation and Logistics Tech > Road Transport Tech",India,2021-2025,1.54,5.1,0.05,Non-AI Firm,4,,,,,,
Developer of plant-based superfood products,Bengaluru,2021,Seed,27,Food and Agriculture Tech > Food Tech,India,2021-2025,3.57,7.39,0.1,Non-AI Firm,4,,,,,,
Online platform to calculate and offset the carbon footprint,Delhi,2021,Seed,1,"Environment Tech > Air Pollution Management Tech,
Sustainability Tech > Air Pollution Management Tech,
Enterprise Applications > GRC Software",India,2021-2025,2.36,12.48,0.03,Non-AI Firm,4,,,,,,
Provider of online hindu puja services and prasad delivery,Kolkata,2021,Seed,18,"Consumer > Local Services,
Unbundling of Craigslist > Local Services,
Consumer > Religion Tech",India,2021-2025,1.02,3.62,0.18,Non-AI Firm,4,,,,,,
"Software-based platform for reconciliation, invoice processing, and payments solutions",Pune,2021,Series A,124,FinTech > Finance & Accounting Tech,India,2021-2025,9.91,36.45,0.55,Non-AI Firm,4,,,,,,
Provider of AI-powered investment research and trading tools,Bengaluru,2021,Seed,67,FinTech > Investment Tech,India,2021-2025,2.26,9.7,1.46,AI Firm,4,,,,,,
OTT platform offering movies and web series in regional languages,Chandigarh,2021,Seed,10,Media & Entertainment > OTT Video,India,2021-2025,3.77,8.77,3.13,Non-AI Firm,4,,,,,,
Manufacturer of bladeless ceiling fans with integrated air purification and lighting,Jaipur,2021,Seed,25,"Retail > Home Improvements,
Retail > Consumer Electronics E-Commerce,
Energy Tech > Energy Efficiency Tech,
Environment Tech > Energy Efficiency Tech,
Sustainability Tech > Energy Efficiency Tech",India,2021-2025,1.07,4.91,0.13,AI Firm,4,,,,,,
Online talent as service platform offering pre-assessed developers,Gurugram,2021,Seed,36,Enterprise Applications > HRTech,India,2021-2025,1.38,6.9,0.22,Non-AI Firm,4,,,,,,
Platform offering quick commerce logistics for direct-to-consumer brands,Gurugram,2021,Seed,33,"Retail > E-Commerce Enablers,
Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech,
Retail > Brands Tech",India,2021-2025,3.51,20.42,1.22,Non-AI Firm,4,,,,,,
Digital platform offering online astrology services,Noida,2021,Seed,129,"Consumer > Local Services,
Unbundling of Craigslist > Local Services,
Consumer > Religion Tech",India,2021-2025,3.23,9.3,0.11,Non-AI Firm,4,,,,,,
Online B2B rural aggregator platform connecting brands with kirana stores,Noida,2021,Seed,65,"Retail > B2B E-Commerce,
Retail > Rural Ecommerce",India,2021-2025,1.5,10.78,2.4,Non-AI Firm,4,,,,,,
Provider of a B2B platform for financial product distribution,Mumbai,2021,Series A,133,"FinTech > Internet First Insurance Platforms,
InsurTech > Internet First Insurance Platforms,
FinTech > Banking Tech",India,2021-2025,6.65,38.19,3.23,Non-AI Firm,4,,,,,,
AI-based marketing solutions for businesses,Palo Alto,2021,Series A,73,"Retail > E-Commerce Enablers,
Retail > Brands Tech,
Enterprise Applications > MarketingTech,
High Tech > Generative AI,
Native AI > Generative AI","United States,
India",2021-2025,6.79,32.48,2.34,AI Firm,4,,,,,,
Internet first brand offering apparel for babies and kids,Gurugram,2021,Seed,24,"Retail > Mom & Baby Care,
Consumer > Fashion Tech,
Retail > Fashion Tech,
Consumer Goods > Apparel Brands",India,2021-2025,1.92,6.99,0.07,Non-AI Firm,4,,,,,,
Online experiential learning platform for kids,Mumbai,2021,Seed,8,EdTech > K-12 EdTech,India,2021-2025,1.4,7.21,0.06,Non-AI Firm,4,,,,,,
Provider of inventory management and sales management solutions for pharmacies,Bengaluru,2021,Seed,69,HealthTech > Pharmacy IT,India,2021-2025,1.3,2.67,0,Non-AI Firm,4,,,,,,
Offering OTPless authentication solutions,Delhi,2021,Seed,19,Enterprise Infrastructure > Cybersecurity,India,2021-2025,6.5,18.15,0.08,Non-AI Firm,4,,,,,,
Provider of banking-as-a-service solutions,Mumbai,2021,Series A,39,FinTech > Banking Tech,India,2021-2025,8.2,34.47,0.59,Non-AI Firm,4,,,,,,
Provider of AI-powered emotion analysis tool for market research,Mumbai,2021,Seed,5,"Enterprise Applications > MarketingTech,
High Tech > Image Recognition,
High Tech > Computer Vision,
High Tech > Eye Tracking,
High Tech > Speech and Voice Recognition,
High Tech > Security & Surveillance Technology,
FinTech > RegTech,
FinTech > Banking Tech,
Enterprise Applications > GRC Software",India,2021-2025,1.5,5.79,0.11,AI Firm,4,,,,,,
Internet first brand of plant-based milk,Bengaluru,2021,Seed,1,"Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products,
Food and Agriculture Tech > Food Tech",India,2021-2025,3.06,1.52,0.07,Non-AI Firm,4,,,,,,
Developer of AI-powered collaborative robots for automated assembly in various industries,Hyderabad,2021,Seed,22,High Tech > Industrial Robotics,India,2021-2025,4.31,10.94,0.25,AI Firm,4,,,,,,
Provider of revenue cycle management and healthcare financing solutions,Gurugram,2021,Seed,50,"FinTech > Alternative Lending,
HealthTech > Healthcare IT,
FinTech > Insurance IT,
InsurTech > Insurance IT",India,2021-2025,5.57,20.65,0.25,Non-AI Firm,4,,,,,,
Real estate investment platform for individuals,Bengaluru,2021,Seed,4,"Financial Services > Services for Investment Industry,
FinTech > Investment Tech",India,2021-2025,1,1.7,0.01,Non-AI Firm,4,,,,,,
Platform offering employee benefits as a service to enterprises,Mumbai,2021,Seed,23,"FinTech > Insurance IT,
InsurTech > Insurance IT,
FinTech > Employer Insurance,
InsurTech > Employer Insurance,
HealthTech > Employee Health IT,
Enterprise Applications > HRTech",India,2021-2025,2.38,9.64,0.01,Non-AI Firm,4,,,,,,
Provider of AI-driven loss reduction technology for retail investors,Mumbai,2021,Seed,28,FinTech > Investment Tech,India,2021-2025,1.24,6.91,0.26,AI Firm,4,,,,,,
Online platform providing electric delivery vehicle rental services,Chennai,2021,Seed,79,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech,
Consumer > Road Transport Tech,
Travel and Hospitality Tech > Road Transport Tech,
Auto Tech > Road Transport Tech,
Transportation and Logistics Tech > Road Transport Tech,
Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles,
Auto > Auto Retail & Aftersales,
Consumer > Auto E-Commerce & Content,
Auto Tech > Auto E-Commerce & Content",India,2021-2025,1.78,6.54,0.39,Non-AI Firm,4,,,,,,
Provider of cattle health monitoring solutions,Pune,2021,Seed,37,Food and Agriculture Tech > Livestock Tech,India,2021-2025,1.11,3.53,0.1,Non-AI Firm,4,,,,,,
Platform offering modular electric two–wheelers with attachable business modules,Nashik,2021,Seed,27,"Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2021-2025,2.15,15.41,0.03,Non-AI Firm,4,,,,,,
Provider of DeFi protocol for access to emerging market debt,India,2021,Seed,5,"FinTech > Cryptocurrencies,
Blockchain Technology > Cryptocurrencies",India,2021-2025,7.19,11.9,0.19,Non-AI Firm,4,,,,,,
Provider of various products and services for women's health and wellness,Gurugram,2021,Seed,25,"HealthTech > Healthcare Booking Platforms,
HealthTech > Disease Self Management,
HealthTech > Fitness & Wellness Tech,
Retail > Mom & Baby Care",India,2021-2025,2.03,4.53,0.1,Non-AI Firm,4,,,,,,
Provider of a 3D science laboratory,Pune,2021,Series A,61,"EdTech > Higher Education Tech,
HealthTech > Healthcare IT",India,2021-2025,1.6,8.79,0.88,Non-AI Firm,4,,,,,,
App-based digital bank for teenagers,Gurugram,2021,Seed,15,FinTech > Banking Tech,India,2021-2025,2,2.55,0.06,Non-AI Firm,4,,,,,,
Platform offering immersive learning solutions,Bhopal,2021,Seed,24,"High Tech > Virtual Reality,
High Tech > Augmented Reality,
High Tech > Gesture Recognition",India,2021-2025,1.01,5.89,0.63,Non-AI Firm,4,,,,,,
Provider of software solutions for molecular diagnostics and discovery,Bengaluru,2021,Seed,11,"HealthTech > Life Sciences Tech,
Life Sciences > Life Sciences Tech",India,2021-2025,2.84,10.93,0.05,Non-AI Firm,4,,,,,,
Credit cards for digital creators,India,2021,Seed,7,FinTech > Payments,India,2021-2025,2.73,9.98,0.09,Non-AI Firm,4,,,,,,
Cloud-based RPA platform for basic automation,"Lewes,
Bengaluru",2021,Seed,1,"Enterprise Applications > Sales Force Automation,
High Tech > Generative AI,
Native AI > Generative AI,
High Tech > Agentic AI,
Native AI > Agentic AI","United States,
India",2021-2025,1.55,5.23,0.28,Non-AI Firm,4,,,,,,
SaaS-based supply chain management solutions for the e-commerce and retail industry,Noida,2021,Seed,21,"Retail > Brands Tech,
Retail > In Store Retail Tech,
Enterprise Applications > MarketingTech",India,2021-2025,1.96,5.86,0.58,AI Firm,4,,,,,,
Provider of social metaverse gaming platform to play multiple games,Bengaluru,2021,Seed,22,"Mobile > Mobile Gaming,
Gaming > Mobile Gaming,
High Tech > Metaverse,
FinTech > Non Fungible Tokens,
Blockchain Technology > Non Fungible Tokens,
Gaming > PC & Console Gaming",India,2021-2025,3.02,11.92,0.08,Non-AI Firm,4,,,,,,
Online platform offering royalty-free music for content creators,Mumbai,2021,Series A,31,"Consumer > Music Tech,
Media & Entertainment > Music Tech",India,2021-2025,3.09,12.15,0.26,Non-AI Firm,4,,,,,,
Offers financial solutions for pharmaceutical supply chain management,Mumbai,2021,Seed,75,"HealthTech > Pharmacy IT,
FinTech > Alternative Lending",India,2021-2025,3.5,14.67,0.79,AI Firm,4,,,,,,
Provider of AI-powered carbon management platform,Delhi,2022,Seed,65,"Environment Tech > Air Pollution Management Tech,
Sustainability Tech > Air Pollution Management Tech,
Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2021-2025,1.21,4.16,1.71,AI Firm,3,,,,,,
Platform offering AI-based analytics solutions for e-commerce businesses,Hyderabad,2022,Seed,19,"Enterprise Applications > MarketingTech,
Retail > E-Commerce Enablers,
Retail > Brands Tech",India,2021-2025,0.5,1.88,0.11,AI Firm,3,,,,,,
Engineering agri-waste into purpose,Bengaluru,2022,Seed,18,"High Tech > Advanced Materials,
Chemicals and Materials Tech > Advanced Materials,
Chemicals and Materials Tech > Chemicals Tech",India,2021-2025,3.5,14.47,0.1,Non-AI Firm,3,,,,,,
Online marketplace offering two-wheeler loans to consumers,Gurugram,2022,Series A,86,"FinTech > Alternative Lending,
Consumer > Auto E-Commerce & Content,
Auto Tech > Auto E-Commerce & Content",India,2021-2025,1.43,6.37,0.2,Non-AI Firm,3,,,,,,
Blockchain-based marketplace for supply chain financing solutions,Gurugram,2022,Seed,65,"FinTech > Alternative Lending,
Enterprise Applications > SCM Software",India,2021-2025,7,23.36,0.55,AI Firm,3,,,,,,
Provider of a personal data management platform with AI-powered features,Mumbai,2022,Seed,1,"Enterprise Infrastructure > Cybersecurity,
FinTech > Investment Tech,
High Tech > Generative AI,
Native AI > Generative AI",India,2021-2025,0.13,0.85,0,AI Firm,3,,,,,,
Platform offering multi-category home improvement products,Bengaluru,2022,Seed,80,Retail > Home Improvements,India,2021-2025,13.12,20.73,1.07,Non-AI Firm,3,,,,,,
Provider of an online lending platform offering green financing,Mumbai,2022,Seed,9,"Financial Services > Services for Investment Industry,
FinTech > Alternative Lending",India,2021-2025,0.97,5.37,0.04,Non-AI Firm,3,,,,,,
Provider of AI & web-based supply chain operational planning solutions,Bengaluru,2022,Seed,34,"Enterprise Applications > SCM Software,
High Tech > Chatbots",India,2021-2025,1.38,4.88,0.12,AI Firm,3,,,,,,
A hospitality services company providing fully-serviced accommodations and event spaces for short and long-term stays,Gurugram,2022,Seed,89,Travel and Hospitality > Hotels,India,2021-2025,0.04,0.12,1.88,Non-AI Firm,3,,,,,,
Provider of AI-powered solutions for cross-border trade,Bengaluru,2022,Seed,20,"FinTech > Digital Remittance,
FinTech > Alternative Lending,
Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2021-2025,1.25,6.06,0.05,AI Firm,3,,,,,,
Online on demand manufacturing solution for electronic products,Delhi,2022,Seed,11,"Enterprise Applications > Manufacturing Tech,
Industrial Goods and Manufacturing > Manufacturing Tech",India,2021-2025,1.55,7.92,1.45,Non-AI Firm,3,,,,,,
App-based platform offering rewards and cashback on multi-category products,Mumbai,2022,Series A,12,Retail > Coupons and Deals,India,2021-2025,1.18,10.54,0.04,Non-AI Firm,3,,,,,,
Platform offering software solutions for brands and creators,Mumbai,2022,Seed,13,"Retail > E-Commerce Enablers,
Retail > Brands Tech,
Retail > Influencer E-Commerce",India,2021-2025,3.09,10.15,0.53,Non-AI Firm,3,,,,,,
Online platform offering fashion products manufacturing service,Bengaluru,2022,Seed,54,"Consumer > Fashion Tech,
Retail > Fashion Tech",India,2021-2025,2.8,12.61,0.13,Non-AI Firm,3,,,,,,
An online platform offering cross-border courier shipping services,Delhi,2022,Seed,1,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2021-2025,2.5,12.02,0.94,Non-AI Firm,3,,,,,,
Internet first brand of tea,Ludhiana,2022,Seed,16,"Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products",India,2021-2025,0.19,1.88,0.32,Non-AI Firm,3,,,,,,
Provider of AI software for real estate decarbonization,Gurugram,2022,Seed,42,"Environment Tech > Air Pollution Management Tech,
Sustainability Tech > Air Pollution Management Tech,
Real Estate and Construction Tech > Construction Tech,
Enterprise Applications > GRC Software,
Real Estate and Construction Tech > Facility Management Tech,
Energy Tech > Energy Efficiency Tech,
Environment Tech > Energy Efficiency Tech,
Sustainability Tech > Energy Efficiency Tech",India,2021-2025,9,6.68,0.03,AI Firm,3,,,,,,
Online learning platform for government job exam preparation,Jaipur,2022,Seed,29,EdTech > Test Preparation Tech,India,2021-2025,1.19,11.98,0.2,Non-AI Firm,3,,,,,,
Online platform for bill and customer expense management,Thane,2022,Seed,148,FinTech > Finance & Accounting Tech,India,2021-2025,0.68,3.39,0.06,Non-AI Firm,3,,,,,,
Provider of audio-calling companion app,Bengaluru,2022,Seed,30,"Consumer > Social Platforms,
Media & Entertainment > Social Platforms,
Consumer > Communication Apps,
Mobile > Communication Apps",India,2021-2025,0.81,3.48,0.33,Non-AI Firm,3,,,,,,
"Online platform for engineering students, companies, and colleges to collaborate on jobs, upskilling, and hands-on training",Bengaluru,2022,Seed,34,EdTech > Continued Learning,India,2021-2025,0.24,3.01,0.13,AI Firm,3,,,,,,
Platform offering audit management solutions,Chennai,2022,Seed,16,Enterprise Applications > GRC Software,India,2021-2025,1.5,5.33,0.06,Non-AI Firm,3,,,,,,
Developer of electric vehicle charger,Bengaluru,2022,Seed,13,"Energy Tech > Energy Storage Tech,
Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2021-2025,1.7,5.44,0.29,Non-AI Firm,3,,,,,,
Manufacturer of multi-category electric vehicles,Mumbai,2022,Seed,77,"Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2021-2025,3.37,11.62,0.02,Non-AI Firm,3,,,,,,
Developer of tactical air defence drone systems,Bengaluru,2023,Seed,19,"Aerospace, Maritime and Defense Tech > Military Tech,
High Tech > Drones,
Aerospace, Maritime and Defense Tech > Drones",India,2021-2025,0.99,11.71,0.18,AI Firm,2,,,,,,
Medical education platform that offers specialized programs and certifications for doctors,Bengaluru,2023,Seed,51,"EdTech > Continued Learning,
HealthTech > Healthcare IT",India,2021-2025,0.73,4.64,0.47,Non-AI Firm,2,,,,,,
Employer-enabled savings platform for individuals,Bengaluru,2023,Seed,31,FinTech > Investment Tech,India,2021-2025,4.56,13.03,0.02,Non-AI Firm,2,,,,,,
Online platform offering productivity and work-related tools for creative professionals,Delhi,2023,Seed,26,Retail > B2B E-Commerce,India,2021-2025,3.5,12.66,1.34,Non-AI Firm,2,,,,,,
Online platform offering grocery products,Gurugram,2023,Seed,40,Food and Agriculture Tech > Online Grocery,India,2021-2025,2,6.13,0.02,Non-AI Firm,2,,,,,,
Provider of online business courses for students,Bengaluru,2023,Seed,37,EdTech > Continued Learning,India,2021-2025,4.22,19.6,0.4,Non-AI Firm,2,,,,,,
Provider of real estate listings management platform,Mumbai,2023,Seed,28,"Real Estate and Construction Tech > Real Estate IT,
Consumer > Residential Real Estate Tech,
Real Estate and Construction Tech > Residential Real Estate Tech",India,2021-2025,2.5,9.94,0.09,Non-AI Firm,2,,,,,,
Producer of lithium ion battery materials,Hyderabad,2023,Series A,22,Energy Tech > Energy Storage Tech,India,2021-2025,3.61,16.08,0,Non-AI Firm,2,,,,,,
Fintech platform providing salary-linked financial products and services,Gurugram,2023,Seed,38,Enterprise Applications > HRTech,India,2021-2025,5.26,14.75,0.12,Non-AI Firm,2,,,,,,
